Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
17.25,16.84,25.39,23.89,18,18,19
16.64,15.25,16.42,11.62,11,9,10
19.07,15.28,18.09,37.54,10,38,16
26.8,37.53,29.42,43.02,52,38,20
27.71,18.25,23.24,26.6,17,24,11
22.81,13.92,13.84,13.85,15,20,17
19.36,17.36,12.5,17.39,15,15,16
14.49,13.14,15.13,11.58,10,16,12
16.55,24.59,20.69,18.94,11,21,22
12.37,12.1,12,11.72,8,10,11
16.05,18.68,19.89,15.93,10,18,15
19.57,17.24,13.7,8.95,13,15,17
16.4,17.67,11.51,11.28,10,14,13
22.36,19.18,22.75,17.13,14,14,18
27.99,32.34,21.78,15.91,16,23,10
17.62,18.71,22.53,21.61,18,18,28
12.35,11.21,10.14,11.49,9,9,9
20.43,22.78,17.69,30.71,14,12,16
17.55,15.59,17.8,9.9,10,18,8
24.23,23.87,25.77,26.18,20,31,29
15.49,14.54,13.86,12.94,13,14,16
17.1,19.05,14.85,12.35,15,16,13
22.52,32.01,25.73,18.81,27,23,23
18.86,13.51,17,11.48,11,16,15
16.92,16.44,18.02,17.76,12,20,19
19.44,17.21,13.99,13.76,11,18,13
30.68,27.51,19.14,23.79,44,33,67
16.41,15.58,17.11,11.29,15,14,13
35.75,32.94,28.75,25.24,14,18,13
15.77,15.12,14.45,18.85,14,18,13
26.81,35.68,21.52,23.41,14,25,20
54.11,33.98,69.48,30.59,11,29,18
26.72,35.26,43.45,25.06,19,34,33
34.18,29.63,33.23,17.38,20,25,21
19.2,19.93,18.56,19.48,15,16,15
14.63,14.23,15.17,9.27,12,10,11
19.19,20.66,22.41,27.62,23,20,20
14.43,20.85,16.47,19.75,28,22,23
16.45,22.7,19.06,17.91,27,15,12
13.09,13.01,12.56,14.33,12,12,9
16.6,19.33,23.38,36.89,15,21,20
14.94,16.4,16.69,12.46,14,10,14
17.7,17.5,11.86,14.86,13,15,13
34.16,39.87,34.03,41.51,18,31,51
17.34,15.36,17.85,15.34,18,14,14
14.69,15.48,20.39,25.03,8,13,12
28.95,20.99,17.49,10.31,10,12,11
33.63,32.59,35.06,29.06,20,22,15
59.86,36.62,22.55,49.36,24,30,42
14.75,13.42,18.87,21.9,20,17,15
27.92,24.54,19.94,27.82,24,20,25
26.25,25.44,13.61,18.55,14,18,17
17.79,34.84,20.09,23.1,18,25,18
13.04,13.06,11.91,13.62,12,13,10
17.25,17.07,10.3,9.49,9,10,9
18.87,19.57,12.67,14.82,11,17,14
20.13,28.65,31.04,14.78,22,16,13
14.91,16.26,16.87,14.59,12,14,15
15.04,22.45,29.6,22.12,15,29,17
17.81,21.96,21.65,10.46,14,19,12
23.67,22.28,19.57,17.81,19,34,21
21.33,19.68,18.58,19.87,19,20,18
14.81,14.67,23.8,20.62,11,17,24
14.29,11.24,13.76,13.21,9,11,11
20.13,20.81,22.35,10.02,11,18,10
57.47,46.88,57.19,28.73,28,76,29
15.76,13.16,11.96,16.67,21,14,17
21.46,21.03,26.8,20.63,15,24,13
16.81,12.61,13.9,10.24,13,15,15
21.52,15.04,14.44,13.55,12,15,12
18.28,18.4,16.37,15.07,15,19,12
14.6,13.57,20.07,14.57,11,19,13
15.48,16.94,14.65,12.42,16,16,12
15.39,16.55,19.94,20.5,20,16,15
20.32,24.52,20.13,18.22,12,17,17
16.81,16.18,14.88,13.55,11,15,13
20.09,15.91,23.35,15.93,15,19,15
19.59,19.35,18.32,16.35,15,20,21
18.48,13.97,27.11,29.82,31,21,19
15.67,14.07,13.41,13.96,12,15,12
29.98,24.51,44.23,35.92,41,24,30
15.72,18.7,17.58,16.07,21,17,12
45,42.81,34.61,33.05,33,16,29
16.21,16.54,21.18,19.73,18,21,13
16.92,17.75,19.69,23.65,13,21,17
27.3,22.38,25.4,30.44,24,37,14
16.8,11.51,12.61,11.99,10,15,8
19.4,23.36,18.99,14.42,19,20,21
28.75,24.56,26.19,33.68,16,26,24
48.67,53.12,23.9,11.2,17,22,17
22.14,19.99,27.08,26.41,13,16,21
25.44,19.88,14.94,11.33,21,21,12
39.36,35.69,27.62,21.14,29,21,25
13.27,18.22,15.19,11.23,10,11,19
19.84,28.67,33.21,20.11,36,41,41
19.71,14.05,20.33,14.99,15,19,13
45.88,40.4,40.04,39,23,28,27
27.6,20.97,29.47,32.83,21,32,17
14.79,15.24,15.93,12.04,18,19,11
15.07,16.16,12.08,15.8,14,10,16
59.97,45.8,25.26,21.8,41,31,44
13.53,16.07,14.56,15.71,20,19,15
35.81,27.16,33.58,33.35,27,29,21
16.66,15.72,16.67,12.89,12,15,13
14.23,16.64,18.94,18.25,17,21,15
46.83,44.83,18.32,29.93,21,25,20
31.83,32.24,23.13,22.83,17,11,21
11.59,13.24,15,10.26,10,12,9
13.78,14.59,17.06,13.71,12,10,11
32.55,26.7,41.32,35.63,24,41,26
21.57,19.1,25.84,20.58,19,27,14
19.21,15.99,17.32,15.67,13,15,17
13.86,17.07,20.67,13.64,17,11,13
16.43,13.35,17.14,19.1,9,15,10
16.42,17.68,26.1,20.31,38,9,16
48.13,34.82,32.93,37.81,18,24,27
13.22,14.72,14.45,13.53,17,17,17
23.61,18.7,23.05,28.42,14,20,17
14.46,14.9,15.65,9.38,12,14,14
20.43,13.14,15.62,14.84,13,16,16
20,15,25,19,30,22,25
23.09,34.77,34.96,26.5,16,18,19
12.68,9.77,9.76,9.16,8,11,10
14.7,12.61,15.54,16.37,12,16,15
24.17,35.97,26.13,18.63,19,22,32
36.07,27.49,28.1,21.19,19,20,17
21.47,18.37,16.6,13.15,12,18,16
14.9,17.01,14.54,13.01,13,13,13
11.83,13.24,11.35,11.14,12,15,19
