Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
53.03,53.87,42.09,25.02,39,17,58
30.54,37.59,23.1,20.05,39,24,18
43.04,49.76,32.46,6.11,47,10,40
52.11,57.57,14.01,9.3,25,18,18
54.94,33.95,30.54,11.41,25,24,33
47.99,54.29,32.22,7.49,35,28,43
49.62,54.55,45.62,23.34,56,8,40
51.7,34.59,26.88,15.34,36,44,19
28.32,36.49,22.57,12.37,36,14,22
36.37,41.14,24.07,11.67,38,25,33
43.45,45.65,33.25,11,37,22,45
52.67,52.09,29.11,11.95,39,16,34
35.89,41.35,25.36,8.64,36,24,39
31.43,41.95,21.63,8.02,31,20,15
31.86,39.81,17.58,6.94,32,16,31
57.18,35.08,11.29,7.33,12,24,23
29.45,39.36,24.18,8.31,34,26,25
25.4,33.35,18.83,10.03,38,22,24
53.1,53.39,34.85,18.62,46,25,40
47.83,45.94,42.26,30.04,32,13,24
52.2,52.5,31.06,10.29,41,22,33
42.46,52.04,10.64,13.23,26,10,23
46.69,56.46,45.49,14.97,40,41,28
37.84,44.5,21.72,8.12,33,10,21
46.19,49.53,24.62,6.65,37,12,26
25.75,42.43,22.81,10.32,37,24,22
53.89,37.16,28.22,8.49,29,38,38
30.98,33.85,28.37,18.85,41,23,29
44.84,53.49,47.42,23.92,52,25,40
49.17,41.84,30.51,13.62,47,41,18
28.3,32.52,26.38,22.05,34,24,26
33.9,43.32,25.94,10.75,31,24,42
37.68,58.44,27.06,11.01,41,12,40
37.93,42.97,21.09,9.15,38,16,18
48.66,34.2,10.44,12.96,29,28,16
47.51,50.63,42.01,18,48,24,32
31.34,38.65,10.2,11.89,34,12,12
49.88,51.61,23.91,12.54,35,20,47
44.5,48.58,30.7,13.37,47,16,40
40.67,41.85,23.75,12.65,36,10,33
25.39,27.04,18.23,14.76,25,16,28
35.36,40.72,24.79,10.76,35,26,32
35.72,38.58,30.83,18.42,37,21,24
20,15,25,19,30,22,25
30.53,41.18,19.2,11.27,37,12,31
57.4,50.81,25.48,8.05,24,23,39
51.74,53.38,19.8,6.74,30,29,31
40.75,38.3,25.61,10.68,43,26,34
44.39,49.75,15.47,10.48,22,23,20
21.78,35.66,19.11,7.41,36,20,18
43.77,53.37,30.82,14,40,37,28
47,31.48,24.23,11.49,35,40,35
28.93,31.36,19.89,13.09,34,17,24
52.65,37.58,35.91,12.1,38,16,30
29.47,43.16,17.84,11.35,37,16,25
49.65,53.2,27.64,8.46,42,13,34
47.39,42.29,14.04,11.63,25,14,21
38.12,29.22,33.77,9.98,34,19,28
41.2,47.56,28.19,14.35,43,27,36
39.73,41.74,30.9,19.27,42,30,38
36.3,46.16,31.26,10.09,45,20,31
44.63,57.85,34.22,7.52,51,18,42
30.1,37.41,25.3,18.39,39,21,29
48.98,51.02,33.34,10.27,41,34,36
36.75,43.46,26.01,12.88,46,27,24
33.24,38.77,29.78,19.15,45,25,31
36.97,44.97,27.32,9.17,42,23,34
28.44,36.9,25.16,11.59,45,21,40
47.36,52.93,33.42,21.53,48,11,19
56.24,39.12,25.02,24.2,34,35,32
20,29.07,26.11,5.99,31,41,13
35.86,35.89,24.6,13.31,40,29,18
29.84,30.39,24.03,13.45,36,19,27
47.86,57.44,33.04,19.96,44,18,34
50.83,50.15,31.53,7.46,37,12,39
41.92,47.28,30,8.55,41,38,10
47.95,47.77,21.43,8.09,38,22,30
46.78,45.68,8.79,17.95,12,12,18
26.21,32.07,26.71,9.51,37,25,43
42.77,46.76,21.82,10.04,39,30,16
39.21,46.94,40.82,11.47,48,48,20
31.27,35.48,17.05,15.68,35,19,18
40.76,45.85,27.98,10.79,35,17,35
54.18,50.69,31.05,10.63,35,23,37
50.63,44.9,16.59,11.66,32,25,27
28.3,40.9,11.37,14.81,28,11,18
29.86,35.8,21.94,13.3,42,28,19
49.84,53.57,31.74,12.46,41,34,32
43.36,49.37,24.19,10.47,38,14,27
43.3,47.09,40.45,15.29,46,19,45
33.36,35.99,23.44,10.62,36,22,26
37.67,39.95,30.54,12.38,46,32,25
33.23,41.93,18.88,7,42,16,17
51.95,59.55,33.83,8.09,47,12,33
42.53,51.96,39.46,14.04,45,38,22
40.1,47.82,20.51,20.39,32,13,25
23.22,31.39,15.94,18.57,33,15,27
40.04,51.29,23.2,15.53,36,13,42
46.04,52.28,27.43,5.97,39,30,47
23.09,24.11,19.84,10.33,32,38,15
28.15,34.29,22.1,11.55,35,26,15
20,15,25,19,30,22,25
51.18,55.61,30.71,5.43,42,21,46
58.46,27.94,28.65,10.56,40,54,17
36.18,38.77,21.97,10.99,36,14,26
50.67,39.49,33.79,10.54,39,27,15
52.67,41.27,42.52,25.73,28,18,23
46.12,43.73,22.17,8.54,33,29,16
33.38,37.61,18.45,13.23,39,15,28
29.66,34.33,26.62,20.86,42,20,30
34.24,36.3,25.05,10.36,39,26,32
49.44,51.88,23.19,7.44,37,18,42
47.57,46.91,32.27,17.76,41,39,14
46.98,48.08,37.19,22.08,45,23,30
39.04,39.39,32.79,18.79,42,25,42
41.11,48.97,24.62,16.27,40,17,12
32.82,41.46,21.29,13.61,38,17,27
48.09,52.25,29.42,4.75,37,41,25
41,50.31,17.35,7.48,26,12,22
24.33,35.18,19.3,7.61,30,12,25
35.99,38.29,16.11,9.51,38,15,18
50.91,38.5,11.27,9.52,21,14,16
64.39,41.93,24.54,5.47,27,47,19
39.23,49.69,28.33,11.32,38,9,27
51.94,54.04,36.24,12.23,41,27,47
50.17,56.69,32.9,18.14,49,31,29
41.09,45.26,39.53,20.95,43,19,45
36.43,45.67,29.25,8.04,44,17,41
52.05,21.46,21.75,11.49,32,23,17
45.39,46.96,37.97,13.75,47,31,39
25.75,34.15,11.04,7.43,26,21,27
55.15,43.6,19.33,8.3,28,13,16
42.76,53.37,21.05,10.39,40,14,28
