Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
35.58,37.66,33.38,32.93,43,52,52
59.3,67.08,37.84,24.88,25,32,30
41.34,43.65,44.64,42.66,23,26,22
79.9,54.86,53.97,46.28,36,34,30
46.52,39.78,57.94,89.49,48,45,47
44.8,53.45,32.8,23.71,43,48,38
30.09,28.08,32.74,22.02,36,28,36
34.84,31.16,38.07,34.11,38,52,61
35.54,36.11,52.42,50.39,42,41,47
73.7,70.66,49.34,47.75,34,33,23
78,62.21,35.33,30.7,26,58,39
52.94,47.9,33.27,30.17,42,39,50
44.11,45.06,45.96,42.51,42,36,38
92.23,68.6,63.79,57.88,49,31,49
54.44,54.4,53.78,40.13,55,59,36
59.22,55.45,30.97,24.15,46,48,41
55.92,49.76,36.02,29.55,73,35,52
32.37,27.83,36.4,44.46,83,68,29
32.16,35.11,32.35,26.54,37,34,41
37.4,38.33,41.22,33.33,43,49,53
35.12,45.78,32.27,20.88,20,21,22
37.97,52.29,35.81,25.47,37,38,26
49.88,41.38,33.39,34.12,40,36,44
48.92,43.38,24.42,28.51,35,52,45
34.3,44.06,40.09,42.22,35,54,43
41.04,45.71,38.64,32.98,30,27,31
43.69,51.81,38.24,25.76,22,50,30
59.31,36.73,30.02,35.32,33,21,50
68.31,56.56,37.25,44.7,46,46,42
55.26,57.42,38.57,28.84,9,40,54
80.07,69.57,49.79,29.86,71,50,33
44.99,46.8,40.5,30.09,56,57,60
39.09,39.91,36.56,25.22,53,38,50
41.79,54.22,41.87,39.73,50,50,59
46.63,40.1,49.43,51.35,28,27,30
44.53,36.56,35.87,28.67,42,47,50
49.77,56.95,41.07,21.53,48,40,69
50.93,55.23,58.02,48.43,49,29,34
45.66,45.15,40.66,39.15,41,40,44
44.9,48.13,43.78,39.13,21,38,12
38.09,42.5,25.51,20.62,30,21,24
