Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
42.62,51.34,42.89,7.97,49,33,46
56.65,56.16,45.6,23.25,50,32,53
37.2,51.78,26.51,2.28,22,7,29
50,31.78,34.12,14.83,35,53,12
58.31,59.28,46.11,17.51,55,29,48
52.71,47.2,24.15,4.48,24,45,14
21.11,39.41,24.31,3.46,37,12,34
60.14,40.53,28.74,3.3,27,43,13
46.9,59.81,39.21,9.7,43,31,34
56.19,55.9,51.86,22.98,42,8,37
58.81,61.48,45.11,19.23,41,18,32
37.16,46.89,25.72,13.66,27,21,20
46.09,43.91,26.67,4.92,36,20,38
35.15,49.79,23.98,2.91,24,21,30
20,15,25,19,30,22,25
43.14,35.75,20.94,4.48,21,25,39
47.36,48.63,37.75,11.52,53,35,48
69.27,64.49,43.2,8.6,47,36,61
44.53,51.5,32.7,3.15,41,27,42
8.33,43.96,34.74,20.86,12,23,42
50.92,57.53,52.18,26.4,55,33,39
47.57,55.8,34.95,17.37,52,22,35
25,22.23,23.24,4.69,26,47,13
47.67,48.38,42.93,7.15,43,32,51
30.26,42.38,30.25,8.25,39,25,24
47.99,48.99,32.67,5.47,35,30,44
40.09,50.25,43.42,26.33,47,22,33
34.57,48.6,22.54,4.34,36,9,27
9.09,27,40.03,9.32,38,48,34
52.55,53.36,50.43,19.1,46,21,54
47.79,49.97,38.48,7.95,42,45,21
5.49,45.16,22.09,2.08,23,29,40
42.22,45.16,34.91,16.12,38,45,50
11.11,39.64,17.27,3.6,18,15,42
46.5,66.36,41.16,18.48,45,26,29
43.95,53.17,40.44,25.72,41,11,47
65.9,49.66,45.82,31.53,42,9,5
49,52.93,16.77,4.18,33,23,16
50.34,55.44,30.58,7.21,40,29,41
39.85,65.11,35.08,12.01,44,8,47
52.86,49.84,30.95,3.56,38,36,46
42.08,44.73,28.27,7.1,30,22,11
47.36,50.12,21.57,17,38,29,7
38.96,53.57,26.08,3.52,40,23,50
14.29,11.68,32.1,5.9,42,54,15
54.59,52.32,33.94,19.35,37,18,14
27.1,49.17,22.47,2.52,36,6,39
64.4,48.63,35.71,12.77,37,50,12
55.25,52.23,28.43,15.05,34,47,48
53.85,56.28,29.59,10.66,33,17,34
38.24,53.64,40.29,11.86,44,16,39
46.38,53.32,32.74,14.41,36,7,43
33.33,42.47,50.5,15.14,43,23,46
40.01,48.72,24.84,10.47,46,25,29
47.5,58.32,35.67,6.87,42,38,38
49.97,56.53,33.19,11.37,40,25,48
41.71,45.43,11.53,2.19,29,23,25
71.29,51.16,32.33,7.31,37,18,46
62.82,51.23,51.03,33.15,41,13,33
37.89,57.54,25.29,15.25,32,28,52
54.58,55.52,46.26,15.52,47,13,32
54.56,57.15,36.7,5.59,37,37,15
42.33,62.04,20.64,3.37,39,19,26
51.17,55.25,38.03,12.14,48,42,20
36.25,45.62,12.47,2.51,25,29,20
42.72,58.26,30.94,5.65,34,33,43
52.32,55.31,25.98,6.82,51,28,45
47.41,58.38,27.83,3.05,40,25,46
46.48,56.19,31.45,4.44,43,33,41
20,15,25,19,30,22,25
39.94,55.74,32.94,13.66,47,20,41
44.88,48.35,18.73,3.63,32,22,31
50.54,51.86,22.35,4.79,30,32,49
51,53.49,24.4,6.18,34,30,40
33.25,64,27.75,3.98,35,27,34
37.03,47.95,24.11,3.94,28,18,44
35.82,45.76,20.25,5.51,32,17,24
11.11,55.07,32.94,27.74,49,23,56
36.94,52.2,12.23,2.54,22,23,24
29.94,48.95,25.78,8.69,42,31,48
53.39,55.74,35.91,12.29,49,32,46
8.33,40.35,40.45,20.28,47,39,25
52.47,51.73,37.31,5.87,47,21,56
72.71,68.95,33.64,10.5,46,30,36
42.37,54.46,38.93,17.51,51,28,47
50.54,60.38,34.3,9.24,46,11,29
47.98,51.97,27.01,5.21,41,19,37
38.61,49.73,19.86,3.56,23,20,43
45.8,55.39,35.81,7.06,45,23,46
51.03,49.7,33.45,13.25,38,7,49
46.93,51.72,24.9,5.05,37,20,29
49.09,51.06,41.89,13.54,47,15,40
43.8,54.16,39.11,17.88,52,24,48
50.26,48.61,42.95,31.96,49,36,28
38.93,48.58,27.85,4.77,36,23,24
50.57,56.54,40.45,11.9,45,37,36
57.72,53.42,38.54,11.32,53,46,19
49.76,51.46,40.41,26.31,47,39,34
